0,0.47650,00:26:41.8594
1,0.45500,00:26:53.3677
2,0.61750,00:27:05.6979
3,0.42100,00:27:17.4622
4,0.60900,00:27:28.6642
5,0.46800,00:27:40.3440
6,0.55950,00:27:52.1947
7,0.35600,00:28:04.0869
8,0.29950,00:28:16.2020
9,0.32250,00:28:27.0176
10,0.22950,00:28:38.1361
11,0.22100,00:28:48.1484
12,0.13650,00:28:58.7367
13,0.19450,00:29:09.1193
14,0.15200,00:29:19.5386
15,0.15250,00:29:29.9266
16,0.12500,00:29:39.9789
17,0.17750,00:29:55.3957
18,0.18350,00:30:05.9991
19,0.19150,00:30:17.4086
20,0.10850,00:30:28.8363
21,0.09750,00:30:38.5287
22,0.10700,00:30:48.1862
23,0.11500,00:31:00.0055
24,0.11700,00:31:10.1730
25,0.14600,00:31:20.6167
26,0.13550,00:31:31.2269
27,0.09450,00:31:41.1367
28,0.09750,00:31:51.2289
29,0.08750,00:32:01.9169
30,0.09800,00:32:12.5245
31,0.12400,00:32:22.7546
32,0.12650,00:32:32.4166
33,0.25650,00:32:42.8718
34,0.18950,00:32:54.0028
35,0.18900,00:33:04.7969
36,0.10750,00:33:16.0520
37,0.10850,00:33:27.0747
38,0.11850,00:33:37.5788
39,0.10900,00:33:47.6484
40,0.10000,00:33:57.7818
41,0.10450,00:34:08.1421
42,0.09200,00:34:19.6779
43,0.08400,00:34:29.1074
44,0.07850,00:34:38.6270
45,0.07950,00:34:48.6625
46,0.09500,00:34:57.8751
47,0.08800,00:35:08.2241
48,0.08900,00:35:18.7346
49,0.08850,00:35:29.1627
50,0.08000,00:35:39.5080
51,0.07600,00:35:50.6980
52,0.07300,00:36:00.9524
53,0.08250,00:36:11.3967
54,0.08450,00:36:21.3534
55,0.10200,00:36:31.8884
56,0.08950,00:36:42.0284
57,0.07450,00:36:52.6384
58,0.07150,00:37:07.9325
59,0.07400,00:37:18.1184
60,0.07000,00:37:28.2042
61,0.07550,00:37:39.0500
62,0.08400,00:37:48.9257
63,0.12950,00:37:59.3735
64,0.15400,00:38:10.7836
65,0.17950,00:38:20.6726
66,0.16200,00:38:31.0879
67,0.10700,00:38:41.4934
68,0.10750,00:38:51.8568
69,0.09900,00:39:02.0061
70,0.08650,00:39:11.9790
71,0.08700,00:39:21.6574
72,0.08200,00:39:31.5814
73,0.07600,00:39:43.2727
74,0.08900,00:39:53.9520
75,0.09000,00:40:03.7622
76,0.11350,00:40:13.8750
77,0.13450,00:40:24.0891
78,0.08950,00:40:34.3066
79,0.07200,00:40:45.2386
80,0.07700,00:40:55.9859
81,0.08000,00:41:06.4249
82,0.07950,00:41:16.2453
83,0.07450,00:41:25.7401
84,0.07800,00:41:35.8162
85,0.07350,00:41:45.5593
86,0.06850,00:41:55.0035
87,0.07650,00:42:04.8657
88,0.07200,00:42:15.2193
89,0.07500,00:42:26.1506
90,0.09250,00:42:35.6780
91,0.09100,00:42:46.1258
92,0.08450,00:42:56.2723
93,0.08850,00:43:07.4244
94,0.08350,00:43:18.0126
95,0.07300,00:43:29.0716
96,0.09100,00:43:39.0036
97,0.09050,00:43:50.1840
98,0.13250,00:44:01.1847
99,0.17600,00:44:15.6068
100,0.16250,00:44:25.9876
101,0.09100,00:44:37.1065
